Date,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,day,month,year,Tmax,Tmin,Tavg,Depart,DewPoint,PrecipTotal,Sunrise,Sunset
2007-05-29,2,1,41.95469,-87.800991,9,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,1,41.95469,-87.800991,9,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,6,41.994991,-87.769279,9,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,13,41.974089,-87.824812,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,13,41.974089,-87.824812,8,4,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,32,41.9216,-87.666455,8,2,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,33,41.891118,-87.654491,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,35,41.867108,-87.654224,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,35,41.867108,-87.654224,8,2,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,36,41.896282,-87.655232,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,37,41.919343,-87.694259,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,39,41.921965,-87.632085,8,2,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,39,41.921965,-87.632085,8,3,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,65,41.688324,-87.676709,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,65,41.688324,-87.676709,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,69,41.862292,-87.64886,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,71,41.720848,-87.666014,9,3,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,74,41.731922,-87.677512,8,5,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,1,74,41.731922,-87.677512,8,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,2,84,41.891126,-87.61156,5,1,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
2007-05-29,3,84,41.891126,-87.61156,5,2,0,29,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0
