Date,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,month,day
2007-05-01,1,83,50,67,14,51,56,0, 2,0448,1849, ,0,M,0.0,0.00,29.10,29.82,1.7,27,9.2,5,151
2007-05-01,2,84,52,68,M,51,57,0, 3,-,-, ,M,M,M,0.00,29.18,29.82,2.7,25,9.6,5,151
2007-05-02,1,59,42,51,-3,42,47,14, 0,0447,1850,BR,0,M,0.0,0.00,29.38,30.09,13.0,4,13.4,5,152
2007-05-02,2,60,43,52,M,42,47,13, 0,-,-,BR HZ,M,M,M,0.00,29.44,30.08,13.3,2,13.4,5,152
2007-05-03,1,66,46,56, 2,40,48,9, 0,0446,1851, ,0,M,0.0,0.00,29.39,30.12,11.7,7,11.9,5,153
2007-05-03,2,67,48,58,M,40,50,7, 0,-,-,HZ,M,M,M,0.00,29.46,30.12,12.9,6,13.2,5,153
2007-05-04,1,66,49,58, 4,41,50,7, 0,0444,1852,RA,0,M,0.0,  T,29.31,30.05,10.4,8,10.8,5,154
2007-05-04,2,78,51,M,M,42,50,M,M,-,-, ,M,M,M,0.00,29.36,30.04,10.1,7,10.4,5,154
2007-05-05,1,66,53,60, 5,38,49,5, 0,0443,1853, ,0,M,0.0,  T,29.40,30.10,11.7,7,12.0,5,155
2007-05-05,2,66,54,60,M,39,50,5, 0,-,-, ,M,M,M,  T,29.46,30.09,11.2,7,11.5,5,155
2007-05-06,1,68,49,59, 4,30,46,6, 0,0442,1855, ,0,M,0.0,0.00,29.57,30.29,14.4,11,15.0,5,156
2007-05-06,2,68,52,60,M,30,46,5, 0,-,-, ,M,M,M,0.00,29.62,30.28,13.8,10,14.5,5,156
2007-05-07,1,83,47,65,10,41,54,0, 0,0441,1856,RA,0,M,0.0,  T,29.38,30.12,8.6,18,10.5,5,157
2007-05-07,2,84,50,67,M,39,53,0, 2,-,-, ,M,M,M,0.00,29.44,30.12,8.5,17,9.9,5,157
2007-05-08,1,82,54,68,12,58,62,0, 3,0439,1857,BR,0,M,0.0,0.00,29.29,30.03,2.7,11,5.8,5,158
2007-05-08,2,80,60,70,M,57,63,0, 5,-,-,HZ,M,M,M,  T,29.36,30.02,2.5,8,5.4,5,158
2007-05-09,1,77,61,69,13,59,63,0, 4,0438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2,5,159
2007-05-09,2,76,63,70,M,60,63,0, 5,-,-,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9,5,159
2007-05-10,1,84,56,70,14,52,60,0, 5,0437,1859,BR,0,M,0.0,0.00,29.20,29.92,0.7,17,4.1,5,160
2007-05-10,2,83,59,71,M,52,61,0, 6,-,-,BR HZ,M,M,M,0.00,29.26,29.91,2.0,9,3.9,5,160
2007-05-11,1,70,51,61, 4,42,51,4, 0,0436,1860, ,0,M,0.0,0.00,29.33,30.04,11.3,3,12.9,5,161
