,Unnamed: 0,Date,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,day,month,year,Tmax,Tmin,Tavg,Depart,DewPoint,PrecipTotal,Sunrise,Sunset,month_weather,day_weather,pca1,pca2,pca3,pca4,xt_labels
0,0,2007-05-29,2,1,41.95469,-87.800991,9,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,7
1,1,2007-05-29,3,1,41.95469,-87.800991,9,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,7
2,2,2007-05-29,3,6,41.994991,-87.769279,9,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,2
3,3,2007-05-29,2,13,41.974089,-87.824812,8,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,1
4,4,2007-05-29,3,13,41.974089,-87.824812,8,4,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,1
5,5,2007-05-29,3,32,41.9216,-87.666455,8,2,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,5
6,6,2007-05-29,3,33,41.891118,-87.654491,8,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,-1
7,7,2007-05-29,2,35,41.867108,-87.654224,8,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,-1
8,8,2007-05-29,3,35,41.867108,-87.654224,8,2,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,-1
9,9,2007-05-29,3,36,41.896282,-87.655232,8,1,0,179,5,2007,88.0,62.5,75.5,10.0,58.5,0.0,421.0,1917.0,5.0,179.0,-0.663872076146,3.03357327292,-1.43414400029,1.09212333425,-1
